Característica,Descripción
Venenoso,"comestible = e, venenoso = p"
Forma de la tapa,"campana = B, cónico = C, convexo = X, plano = F, nudoso = K, hundido = S"
Superficie de la tapa,"fibroso = F, ranuras = G, escamosas = Y, lisas = S"
Color de la gorra,"marrón = n, buff = b, canela = c, gris = g, verde = r, rosa = p, púrpura = u, rojo = e, blanco = w, amarillo = y"
Moretones,"moretones = t, no = f"
Olor,"almendra = A, anís = L, creosota = c, pescado = y, foul = f, mohoso = m, ninguno = n, picante = p, picante = s, acre = p"
Accesorio branquial,"adjunto = A, descendente = D, libre = F, con muescas = N"
Espaciado branquial,"cerca = c, abarrotado = W, distante = d"
Tamaño de la branquia,"ancho = b, estrecho = n"
Color branquial,"negro = k, marrón = n, buff = b, chocolate = h, gris = g, verde = r, naranja = o, rosa = p, púrpura = u, rojo = e, blanco = w, amarillo = y"
Forma del tallo,"agrandamiento = E, cónico = T"
Raíz del tallo,"bulboso = b, club = c, copa = u, igual = e, rizomorfos = z, enraizado = r, faltante =?"
Superficie del tallo por encima del anillo,"fibroso = F, escamoso = Y, sedoso = K, liso = S"
Superficie del tallo debajo del anillo,"fibroso = F, escamoso = Y, sedoso = K, liso = S"
Color del tallo por encima del anillo,"marrón = n, buff = b, canela = c, gris = g, naranja = o, rosa = p, rojo = e, blanco = w, amarillo = y"
Color del tallo debajo del anillo,"marrón = n, buff = b, canela = c, gris = g, naranja = o, rosa = p, rojo = e, blanco = w, amarillo = y"
Tipo de velo,"parcial = p, universal = u"
Color del velo,"marrón = n, naranja = o, blanco = w, amarillo = y"
Número de anillo,"Ninguno = n, uno = O, dos = t"
Tipo de anillo,"telaraña = C, evanescente = E, ensanchamiento = F, grande = L, ninguno = N, colgante = P, revestimiento = S, zona = Z"
Color de impresión de esporas,"negro = k, marrón = n, buff = b, chocolate = h, verde = r, naranja = o, púrpura = u, blanco = w, amarillo = y"
Población,"abundante = A, agrupado = C, numeroso = N, disperso = S, varios = V, solitario = Y"
Hábitat,"pastos = G, hojas = L, prados = M, caminos = P, urbano = U, desechos = W, bosques = D"
